Horodateur	Votre université :	Votre classement :	Note à l'UC1 : (avec une virgule et pas un point)	UC1/20	Note à l'UC2 : (avec une virgule et pas un point)	UC2/20	Note à l'UC3 : (avec une virgule et pas un point)	UC3/20	Note à la LCA : (avec une virgule et pas un point)	LCA/20	Votre classement au concours blancs (après l'ensemble des UC d'avril) ?	Note total
30/06/2023 13:41	Montpellier	2178	77,2	16,25	79,3	16,69	77,57	16,33	28	10,77	2053	262,07
30/06/2023 13:42	Université de paris cité	6606	69,8	14,69	60,25	12,68	69,12	14,55	34,6	13,31	Je ne sais plus autour de 6000	233,77
30/06/2023 13:42	Paris Ouest	3561	76,1	16,02	70,8	14,91	74,05	15,59	33	12,69	6204	253,95
30/06/2023 13:42	Marseille	9289	40,9	8,61	56,48	11,89	62,67	13,19	25,4	9,77	8237	185,45
30/06/2023 13:44	Aix marseille	4260	72,55	15,27	73,23	15,42	72,8	15,33	31,4	12,08	5700	249,98
30/06/2023 13:45	Lyon Est	5761	64,8	13,64	70,17	14,77	68,9	14,51	36,6	14,08	6542	240,47
30/06/2023 13:46	Rouen	5314	76,5	16,11	71,58	15,07	74,73	15,73	21,2	8,15	1214	244,01
30/06/2023 13:48	Toulouse	8023	64,7	13,62	65,07	13,7	62,63	13,19	26,4	10,15	7600	218,8
30/06/2023 13:48	Montpellier-Nîmes	5641	71,95	15,15	70,85	14,92	69,22	14,57	29,2	11,23	3400	241,22
30/06/2023 13:48	Sorbonne Université	1026	77,6	16,34	79,28	16,69	80,4	16,93	33	12,69	1156	270,28
30/06/2023 13:49	Bordeaux	2709	72,7	15,31	77,4	16,29	72,13	15,19	36,6	14,08	2595	258,83
30/06/2023 13:49	Paris XI	809	77,6	16,34	82,57	17,38	74,82	15,75	37,6	14,46	2400	272,59
30/06/2023 13:50	Aix Marseille	7339	67	14,11	69,2	14,57	64,18	13,51	26,8	10,31	6800	227,18
30/06/2023 13:50	P12	6037	64,5	13,58	74,57	15,7	66,82	14,07	32,6	12,54	6532	238,49
30/06/2023 13:51	Brest	454	85,6	18,02	83,12	17,5	75,6	15,92	32,6	12,54	227	276,92
30/06/2023 13:51	Saint-Etienne	4587	72,5	15,26	72,7	15,31	73,02	15,37	29,8	11,46	4100	248,02
30/06/2023 13:52	Grenoble	3220	80,8	17,01	71,9	15,14	71,87	15,13	31,2	12	4178	255,77
30/06/2023 13:52	Nice	6559	74,1	15,6	64,32	13,54	72,4	15,24	23,4	9	4660	234,22
30/06/2023 13:52	Aix marseille	2950	74,25	15,63	75,67	15,93	73,37	15,45	34,2	13,15	2827	257,49
30/06/2023 13:53	Nancy	2500	81	17,05	77	16,21	77	16,21	25	9,62	1900	260
30/06/2023 13:53	Amiens	3375	73,05	15,38	76,52	16,11	70,38	14,82	35	13,46	4400	254,95
30/06/2023 13:53	Strasbourg	475	82,55	17,38	73,93	15,56	81,5	17,16	38,6	14,85	350	276,58
30/06/2023 13:54	Paris 5	1660	77,2	16,25	79,15	16,66	77,13	16,24	32	12,31	892	265,48
30/06/2023 13:55	Lille	6447	67,95	14,31	71,65	15,08	69,57	14,65	26	10	Pas fait	235,17
30/06/2023 13:56	Montpellier	1205	82,4	17,35	75,72	15,94	79,7	16,78	31	11,92	2966	268,82
30/06/2023 13:56	Clermont-Ferrand	5436	64,67	13,61	71,1	14,97	73,28	15,43	33,6	12,92	5000	242,65
30/06/2023 13:57	Saint-Etienne	8113	68,55	14,43	61,7	12,99	66,27	13,95	20,6	7,92	7800	217,12
30/06/2023 14:00	Bordeaux	1151	80,6	16,97	80,55	16,96	74,43	15,67	33,8	13	1445	269,38
30/06/2023 14:01	Clermont	2453	79,05	16,64	72,87	15,34	74,85	15,76	33,6	12,92	850	260,37
30/06/2023 14:01	Fmms lille	3114	80,1	16,86	82,1	17,28	73,63	15,5	20,6	7,92	4058	256,43
30/06/2023 14:01	Sorbonne université	5956	67,85	14,28	68,88	14,5	71,7	15,09	30,6	11,77	5047	239,03
30/06/2023 14:01	Rennes	1588	79,65	16,77	79,78	16,8	78,18	16,46	28,4	10,92	2080	266,01
30/06/2023 14:02	Besançon	3140	76,25	16,05	73,83	15,54	73,98	15,57	32,2	12,38	1060	256,26
30/06/2023 14:02	Marseille	4137	70,65	14,87	74,3	15,64	72,7	15,31	33	12,69	3038	250,65
30/06/2023 14:02	Paris 7	2357	75,85	15,97	79,08	16,65	77,42	16,3	28,6	11	3500 (à +/- 50 près je ne me rappelle plus exactement) )	260,95
30/06/2023 14:03	Dijon	7902	62,63	13,19	67,82	14,28	59,28	12,48	30,8	11,85	5103	220,53
30/06/2023 14:03	Marseille	4543	74,4	15,66	75,53	15,9	72,77	15,32	25,6	9,85	4300	248,3
30/06/2023 14:05	Marseille	1006	77,85	16,39	82,7	17,41	76,3	16,06	33,6	12,92	Non réalisé	270,45
30/06/2023 14:06	Bordeaux	4745	69,1	14,55	71,85	15,13	69,22	14,57	36,8	14,15	7000	246,97
30/06/2023 14:06	Nantes	40	84,3	17,75	83,42	17,56	79,13	16,66	42,4	16,31	8	289,25
30/06/2023 14:06	Rennes	1310	77,05	16,22	77,72	16,36	78,63	16,55	34,6	13,31	3263	268
30/06/2023 14:07	Université de Paris	271	81,35	17,13	84,57	17,8	81,57	17,17	32,6	12,54	594	280,09
30/06/2023 14:08	Besançon	3613	72,35	15,23	70,83	14,91	76,73	16,15	33,8	13	3878	253,71
30/06/2023 14:08	Aix-Marseille	2209	80,75	17	76,08	16,02	75,03	15,8	30	11,54	1177	261,86
30/06/2023 14:09	UP	631	83	17,47	81,87	17,24	73,83	15,54	36	13,85	1264	274,7
30/06/2023 14:10	Grenoble	968	80	16,84	80	16,84	77,37	16,29	33,4	12,85	1529	270,77
30/06/2023 14:11	Lyon sud	4815	72,1	15,18	72,22	15,2	73,8	15,54	28,4	10,92	4911	246,52
30/06/2023 14:11	UP	7283	61,5	12,95	73,27	15,43	67,7	14,25	25,2	9,69	3532	227,67
30/06/2023 14:13	Lyon	6080	70,1	14,76	69,97	14,73	68,97	14,52	29,2	11,23	7290	238,24
30/06/2023 14:13	Université de Paris Cité	7627	63,4	13,35	67,5	14,21	67,63	14,24	25,4	9,77	6500	223,93
30/06/2023 14:15	Paris	2873	74,6	15,71	78,05	16,43	76,27	16,06	29	11,15	3516	257,92
30/06/2023 14:17	Marseille	260	80,15	16,87	85,3	17,96	79,2	16,67	35,6	13,69	138	280,25
30/06/2023 14:17	toulouse	5599	69,2	14,57	79,92	16,83	69,58	14,65	22,8	8,77	4500 par là (ne me souviens plus exactement)	241,5
30/06/2023 14:17	Lyon Sud	1523	81,3	17,12	75,98	16	76,93	16,2	32,2	12,38	409	266,41
30/06/2023 14:18	Bordeaux	4008	78,5	16,53	72,37	15,24	69,08	14,54	31,6	12,15	Non réalisé	251,55
30/06/2023 14:21	Université de Paris	7752	65,65	13,82	65,12	13,71	65,77	13,85	26	10	7405	222,54
30/06/2023 14:21	Paris Ouest	5792	63,52	13,37	72,08	15,17	74,07	15,59	30,6	11,77	6253	240,27
30/06/2023 14:24	lille 2	62	84,1	17,71	85,17	17,93	81,67	17,19	37	14,23	111	287,94
30/06/2023 14:25	Strasbourg	6503	68,45	14,41	67,02	14,11	70,67	14,88	28,6	11	5147	234,74
30/06/2023 14:25	Université de Strasbourg	6311	71,75	15,11	74,83	15,75	65,13	13,71	24,6	9,46	5438	236,31
30/06/2023 14:25	Besancon	8242	64,82	13,65	68,15	14,35	67,52	14,21	14,6	5,62	?	215,09
30/06/2023 14:25	Paris 13	3691	76,4	16,08	74,27	15,64	76,97	16,2	25,6	9,85	1319	253,24
30/06/2023 14:25	Paris 12	1461	78,2	16,46	78,23	16,47	75,73	15,94	34,8	13,38	1645	266,96
30/06/2023 14:29	Lille 2	8757	60,35	12,71	60,32	12,7	62,42	13,14	21,8	8,38	6500	204,89
30/06/2023 14:32	caen	3276	73,85	15,55	76,85	16,18	71,13	14,97	33,6	12,92	1640	255,43
30/06/2023 14:32	Nancy	2079	80,05	16,85	73,38	15,45	77,27	16,27	32	12,31	1180	262,7
30/06/2023 14:32	Étudiant UE	8672	54,9	11,56	66,1	13,92	57,9	12,19	27,8	10,69	-	206,7
30/06/2023 14:32	Tours	5076	72,2	15,2	72,88	15,34	74,43	15,67	25,4	9,77	3742	244,91
30/06/2023 14:33	Lyon Est	4960	72,85	15,34	73,97	15,57	72,22	15,2	26,6	10,23	1565	245,64
30/06/2023 14:33	Paris cité	617	78	16,42	80	16,84	79	16,63	40	15,38	886	277
30/06/2023 14:33	Paris descartes	1251	77,8	16,38	79,82	16,8	73,25	15,42	37,6	14,46	2600	268,47
30/06/2023 14:34	Paris 5	486	83,65	17,61	81,25	17,11	76,93	16,2	34,6	13,31	302	276,43
30/06/2023 14:34	Marseille	1980	81,45	17,15	72,8	15,33	78,63	16,55	33,2	12,77	1980	266,08
30/06/2023 14:35	lyon est	1136	75,65	15,93	78,07	16,44	75,98	16	39,8	15,31	3150	269,5
30/06/2023 14:35	Caen	7480	65,65	13,82	59,83	12,6	69,53	14,64	30,6	11,77	8000+ (mais pas présente aux épreuves d'avril)	225,61
30/06/2023 14:35	Bordeaux	1502	76,2	16,04	75,72	15,94	79,07	16,65	35,6	13,69	1487	266,59
30/06/2023 14:36	Sorbonne	4704	74,14	15,61	68,83	14,49	70,05	14,75	34,2	13,15	2763	247,22
30/06/2023 14:36	Rennes	936	80,6	16,97	80,38	16,92	78,73	16,57	31,4	12,08	946	271,11
30/06/2023 14:36	lorraine	8266	64,2	13,52	59,67	12,56	66,1	13,92	24,6	9,46	6900	214,57
30/06/2023 14:37	Nancy	1612	80,2	16,88	74,43	15,67	76,02	16	35,2	13,54	1058	265,85
30/06/2023 14:37	Clermont-Ferrand	5257	74,75	15,74	66,87	14,08	71,93	15,14	30,2	11,62	3020	243,75
30/06/2023 14:37	UPEC (Paris 12)	2101	78,65	16,56	77,15	16,24	76,6	16,13	30,2	11,62	2419	262,6
30/06/2023 14:37	Tours	6329	64,85	13,65	74,32	15,65	65,83	13,86	31,2	12	4555	236,2
30/06/2023 14:37	Strasbourg	3935	69,35	14,6	75,53	15,9	73,93	15,56	33,2	12,77	3851	252,01
30/06/2023 14:39	Marseille	766	83,05	17,48	76,75	16,16	78,6	16,55	34,6	13,31	1159	273
30/06/2023 14:39	Toulouse	2683	77,45	16,31	76,18	16,04	75,93	15,99	29,4	11,31	2685	258,96
30/06/2023 14:41	Strasbourg	1442	78,95	16,62	80,7	16,99	77,6	16,34	29,8	11,46	Environ 1200	267,05
30/06/2023 14:42	Paris cité	3331	74,3	15,64	79,28	16,69	73,57	15,49	28	10,77	520	255,15
30/06/2023 14:42	grenoble	1811	79,65	16,77	80,12	16,87	74,73	15,73	30	11,54	2600	264,5
30/06/2023 14:42	Rennes	228	85,4	17,98	79,62	16,76	80,57	16,96	35,4	13,62	529	280,99
